Split,Loss,Video Acc,Video F1,Video AUC
TRAIN,0.0914,0.9979,0.9979,1.0000
TEST,0.5522,0.7201,0.7115,0.8134
XEVAL_RLT,0.7468,0.6281,0.6244,0.5880
XEVAL_BOL,0.7024,0.5925,0.4784,0.5405
