Split,Loss,Video Acc,Video F1,Video AUC
TRAIN,0.0890,1.0000,1.0000,1.0000
TEST,0.5386,0.7302,0.7272,0.8173
XEVAL_RLT,0.6960,0.5702,0.5702,0.6421
XEVAL_BOL,0.9767,0.3701,0.3477,0.4892
